ID_Venta,Producto,Categoria,Precio,Cantidad,Region,Descuento,Almacen,Metodo_Pago,Dia,Mes,Agno
41,"Televisor 55""",Electronica,780,7,Europa,3.66,20,Tarjeta de Credito,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,14.86,4,Cheque,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,1.03,3,Efectivo,11,2,2024
44,Smartphone,Electronica,780,7,Europa,27.28,6,Efectivo,9,2,2024
45,Microondas,Electronica,543.11,9,Asia,7.76,23,PayPal,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,19.88,70,Transferencia Bancaria,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,9.35,5,PayPal,12,2,2024
48,Laptop,Electronica,970,4,Asia,15.6,3,Cheque,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,16.4,4,PayPal,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,5.55,2,Tarjeta de Credito,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,29.09,5,Cheque,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,23.25,6,Efectivo,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,28.18,5,Transferencia Bancaria,15,3,2024
54,Smartphone,Electronica,700,5,Europa,26.84,7,Cheque,16,3,2024
55,Refrigerador,Electrodomestico,650,1,Sudamerica,17.94,4,Cheque,17,3,2024
56,Laptop,Electronica,950,3,Asia,27.66,3,Tarjeta de Credito,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Asia,2.65,7,Transferencia Bancaria,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,5.88,20,Efectivo,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,1.36,4,Cheque,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,9.76,3,Cheque,22,3,2024
61,Laptop,Electronica,1000,2,Asia,11.66,6,Tarjeta de Credito,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,14.93,23,PayPal,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,24.86,70,Efectivo,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,10.7,5,Transferencia Bancaria,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,8.43,3,Cheque,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,16.28,4,Cheque,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,4.23,2,Efectivo,29,3,2024
68,Refrigerador,Electrodomestico,650,1,Europa,24.07,5,PayPal,30,3,2024
69,Laptop,Electronica,970,4,Asia,2.24,8,Cheque,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,29.61,2,Efectivo,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,23.17,3,Tarjeta de Credito,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,5.96,7,Desconocido,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,0.17,9,Transferencia Bancaria,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,24.46,3,Cheque,5,4,2024
75,Smartphone,Electronica,700,5,Europa,21.21,1,Efectivo,6,4,2024
76,Refrigerador,Electrodomestico,650,1,Sudamerica,21.87,4,Tarjeta de Credito,7,4,2024
77,Laptop,Electronica,950,3,Asia,23.14,8,Transferencia Bancaria,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,2.22,6,Efectivo,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,10.75,7,Efectivo,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,3.48,2,Transferencia Bancaria,15,1,2024
2,Smartphone,Electronica,700,5,Europa,25.89,2,Tarjeta de Credito,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,18.7,5,Tarjeta de Credito,17,1,2024
4,Laptop,Electronica,950,3,Asia,9.93,1,PayPal,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,1.91,3,Cheque,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,9.33,1,Transferencia Bancaria,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,9.76,3,Transferencia Bancaria,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,21.89,8,Transferencia Bancaria,22,1,2024
9,Laptop,Electronica,1000,2,Asia,19.13,2,Tarjeta de Credito,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,26.62,3,Cheque,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,14.17,7,PayPal,25,1,2024
12,Lavadora,Electronica,543.11,3,Asia,14.93,9,Efectivo,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,21.4,3,Efectivo,27,1,2024
14,Laptop,Electronica,850,1,Europa,22.82,1,Transferencia Bancaria,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,16.84,4,Cheque,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,23.13,8,Tarjeta de Credito,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,14.81,6,Cheque,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,15.68,7,Cheque,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,12.83,2,Tarjeta de Credito,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,0.76,2,Transferencia Bancaria,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,3.24,5,Cheque,4,2,2024
22,Laptop,Electronica,1050,2,Europa,0.94,1,Efectivo,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,19.09,3,Tarjeta de Credito,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,9.43,1,PayPal,7,2,2024
25,Tablet,Electronica,1000,5,Sudamerica,15.26,3,Transferencia Bancaria,8,2,2024
26,Smartphone,Electronica,780,7,Europa,27.23,1,Tarjeta de Credito,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,7.48,9,PayPal,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,12.31,5,PayPal,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,22.67,4,Cheque,12,2,2024
30,Laptop,Electronica,970,4,Asia,6.86,2,Cheque,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,2.31,1,Cheque,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,8.69,6,Tarjeta de Credito,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,4.84,2,Tarjeta de Credito,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,27.89,8,Transferencia Bancaria,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,24.24,3,Cheque,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,19,5,PayPal,4,2,2024
37,Laptop,Electronica,1050,2,Europa,26.14,7,Efectivo,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,24.11,9,Transferencia Bancaria,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,5.6,3,Tarjeta de Credito,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,26.78,1,Transferencia Bancaria,8,2,2024
41,Smartphone,Electronica,780,7,Europa,16.18,4,Transferencia Bancaria,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,24.22,8,Transferencia Bancaria,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,26.88,1,Transferencia Bancaria,11,2,2024
44,Smartphone,Electronica,780,7,Europa,9.54,9,Efectivo,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,3.3,5,Cheque,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,6.84,4,PayPal,11,2,2024
47,Refrigerador,Electrodomestico,650,1,Europa,12.81,2,Transferencia Bancaria,12,2,2024
48,Laptop,Electronica,970,4,Asia,24.54,1,Transferencia Bancaria,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,25.82,6,Transferencia Bancaria,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,0.21,2,Cheque,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,15.32,8,Tarjeta de Credito,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,12.52,3,Tarjeta de Credito,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,6.66,5,Efectivo,15,3,2024
54,Smartphone,Electronica,700,5,Europa,14.93,7,Tarjeta de Credito,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,10.13,9,Transferencia Bancaria,17,3,2024
56,Laptop,Electronica,950,3,Asia,28.29,3,Transferencia Bancaria,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,9.7,1,Transferencia Bancaria,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,15.56,4,Efectivo,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,21.09,8,Transferencia Bancaria,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,10.91,1,Tarjeta de Credito,22,3,2024
61,Laptop,Electronica,1000,2,Asia,29.15,9,Cheque,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,28.87,5,Cheque,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,7.55,4,PayPal,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,14.92,2,Tarjeta de Credito,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,9.03,1,Transferencia Bancaria,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,8.55,6,Cheque,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,1.11,2,Tarjeta de Credito,29,3,2024
68,Refrigerador,Electrodomestico,1250,1,Europa,18.29,8,Cheque,30,3,2024
69,Laptop,Electronica,970,4,Asia,15.08,3,Transferencia Bancaria,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,1.54,5,Cheque,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,8.36,7,PayPal,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,27.25,9,PayPal,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,7.19,3,Cheque,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,4.35,1,Tarjeta de Credito,5,4,2024
75,Smartphone,Electronica,700,5,Europa,14.68,4,Tarjeta de Credito,6,4,2024
76,Refrigerador,Electrodomestico,1200,1,Sudamerica,29.57,8,Tarjeta de Credito,7,4,2024
77,Laptop,Electronica,950,3,Asia,7.26,1,Cheque,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,20.16,9,Tarjeta de Credito,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,22.85,5,Transferencia Bancaria,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,7.13,4,PayPal,15,1,2024
2,Smartphone,Electronica,700,5,Europa,21.85,2,Transferencia Bancaria,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,11.03,1,Tarjeta de Credito,17,1,2024
4,Laptop,Electronica,950,3,Asia,18.97,6,Transferencia Bancaria,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,19.01,2,Tarjeta de Credito,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,16.07,8,Cheque,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,2.71,3,Transferencia Bancaria,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,25.06,5,Cheque,22,1,2024
9,Laptop,Electronica,1000,2,Asia,9.62,7,Cheque,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,5.6,9,Desconocido,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,1.22,3,Tarjeta de Credito,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,17.73,1,PayPal,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,20.33,4,Tarjeta de Credito,27,1,2024
14,Laptop,Electronica,850,1,Europa,0.5,8,PayPal,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,15.36,10,Tarjeta de Credito,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,6.79,6,Desconocido,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,19.36,2,Transferencia Bancaria,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,5.23,8,Transferencia Bancaria,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,20.73,2,Efectivo,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,11.6,3,PayPal,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,28.1,7,PayPal,4,2,2024
22,Laptop,Electronica,1050,2,Europa,4.13,9,PayPal,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,10.23,3,Cheque,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,3.4,1,PayPal,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,27.74,4,Transferencia Bancaria,8,2,2024
26,Smartphone,Electronica,780,7,Europa,26.32,8,Cheque,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,7.74,6,Desconocido,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,19.8,7,PayPal,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,24.52,2,PayPal,12,2,2024
30,Laptop,Electronica,970,4,Asia,16.66,2,Tarjeta de Credito,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,15.89,5,PayPal,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,7.26,1,Tarjeta de Credito,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,2.79,3,Cheque,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,26.92,1,Transferencia Bancaria,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,27.01,3,Tarjeta de Credito,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,18.99,2,Efectivo,4,2,2024
37,Laptop,Electronica,1050,2,Europa,10.17,5,Tarjeta de Credito,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,10.48,1,PayPal,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,21.78,3,Cheque,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,26.91,1,Cheque,8,2,2024
41,Smartphone,Electronica,780,7,Europa,26.61,4,Tarjeta de Credito,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,23.4,10,Transferencia Bancaria,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,19.26,6,Efectivo,11,2,2024
44,Smartphone,Electronica,780,7,Europa,14.93,2,Cheque,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,4.85,8,PayPal,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,26.96,2,PayPal,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,18.19,3,Transferencia Bancaria,12,2,2024
48,Laptop,Electronica,970,4,Asia,0.28,7,Cheque,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,3.04,1,Tarjeta de Credito,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,19.91,1,PayPal,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,0.15,9,Transferencia Bancaria,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,4.82,5,Cheque,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,16.46,4,Cheque,15,3,2024
54,Smartphone,Electronica,700,5,Europa,20.76,2,Cheque,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,19.56,1,Cheque,17,3,2024
56,Laptop,Electronica,950,3,Asia,6.73,6,Cheque,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,21.37,2,PayPal,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,7.12,8,Transferencia Bancaria,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,9.76,3,Cheque,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,22.39,5,Efectivo,22,3,2024
61,Laptop,Electronica,1000,2,Asia,19.49,7,Efectivo,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,25.48,9,Transferencia Bancaria,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,19.73,3,Tarjeta de Credito,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,17.05,1,Tarjeta de Credito,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,2.81,4,Tarjeta de Credito,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,11.03,8,Efectivo,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,7.96,6,Tarjeta de Credito,29,3,2024
68,Refrigerador,Electrodomestico,1250,1,Europa,7.32,7,PayPal,30,3,2024
69,Laptop,Electronica,970,4,Asia,29.19,2,Cheque,31,3,2024
70,Smartphone,Electronica,690,8,Sudamerica,11.79,10,Efectivo,1,4,2024
71,"Televisor 55""",Electronica,310,6,Europa,26.76,6,Transferencia Bancaria,2,4,2024
72,Aspiradora,Electrodomestico,155,7,Norteamerica,18.93,2,Transferencia Bancaria,3,4,2024
73,Lavadora,Electrodomestico,810,2,Asia,23.84,8,Cheque,4,4,2024
74,"Televisor 55""",Electronica,400,2,Norteamerica,15.08,3,Efectivo,5,4,2024
75,Smartphone,Electronica,700,5,Europa,17.31,5,Tarjeta de Credito,6,4,2024
76,Refrigerador,Electrodomestico,1200,1,Sudamerica,14.78,7,Tarjeta de Credito,7,4,2024
77,Laptop,Electronica,950,3,Asia,14.93,9,PayPal,8,4,2024
78,Lavadora,Electrodomestico,543.11,1,Norteamerica,21.67,3,PayPal,9,4,2024
79,Lavadora,Electrodomestico,543.11,3,Asia,8.42,7,Tarjeta de Credito,10,4,2024
1,"Televisor 55""",Electronica,400,2,Norteamerica,0.73,9,Transferencia Bancaria,15,1,2024
2,Smartphone,Electronica,700,5,Europa,19.36,3,Transferencia Bancaria,16,1,2024
3,Refrigerador,Electrodomestico,650,1,Sudamerica,5.31,1,PayPal,17,1,2024
4,Laptop,Electronica,950,3,Asia,28.21,4,Cheque,18,1,2024
5,Lavadora,Electrodomestico,543.11,1,Norteamerica,28.62,8,Tarjeta de Credito,19,1,2024
6,"Televisor 55""",Electronica,650,4,Europa,27.45,6,PayPal,20,1,2024
7,Aspiradora,Electrodomestico,543.11,10,Sudamerica,11.1,7,PayPal,21,1,2024
8,Smartphone,Electronica,650,6,Norteamerica,0.46,2,Desconocido,22,1,2024
9,Laptop,Electronica,1000,2,Asia,27.85,2,Tarjeta de Credito,23,1,2024
10,Microondas,Electrodomestico,120,8,Europa,12.85,5,Desconocido,24,1,2024
11,"Televisor 55""",Electronica,450,2,Sudamerica,29,1,Cheque,25,1,2024
12,Lavadora,Electrodomestico,543.11,3,Asia,28.91,3,Cheque,26,1,2024
13,Smartphone,Electronica,750,7,Norteamerica,25.59,1,Tarjeta de Credito,27,1,2024
14,Laptop,Electronica,850,1,Europa,8.83,4,Efectivo,28,1,2024
15,Refrigerador,Electrodomestico,650,1,Sudamerica,14.93,10,PayPal,29,1,2024
16,Microondas,Electrodomestico,100,9,Asia,25.53,6,PayPal,30,1,2024
17,"Televisor 55""",Electronica,300,5,Norteamerica,9.51,2,Tarjeta de Credito,31,1,2024
18,Tablet,Electronica,543.11,4,Europa,5.08,8,Efectivo,1,2,2024
19,Lavadora,Electrodomestico,750,2,Asia,16.7,2,Transferencia Bancaria,2,2,2024
20,Refrigerador,Electrodomestico,543.11,1,Norteamerica,28.08,3,Tarjeta de Credito,3,2,2024
21,Smartphone,Electronica,680,6,Sudamerica,20.88,7,Tarjeta de Credito,4,2,2024
22,Laptop,Electronica,1050,2,Europa,17.1,9,PayPal,5,2,2024
23,Aspiradora,Electrodomestico,160,8,Norteamerica,2.92,3,Tarjeta de Credito,6,2,2024
24,"Televisor 55""",Electronica,700,3,Asia,18.45,1,Tarjeta de Credito,7,2,2024
25,Tablet,Electronica,420,5,Sudamerica,29.7,4,Tarjeta de Credito,8,2,2024
26,Smartphone,Electronica,780,7,Europa,4.2,8,PayPal,9,2,2024
27,Microondas,Electrodomestico,543.11,9,Asia,15.55,10,Transferencia Bancaria,10,2,2024
28,"Televisor 55""",Electronica,500,3,Norteamerica,26.32,6,Transferencia Bancaria,11,2,2024
29,Refrigerador,Electrodomestico,650,1,Europa,22.22,2,Tarjeta de Credito,12,2,2024
30,Laptop,Electronica,970,4,Asia,20.91,8,PayPal,13,2,2024
31,Smartphone,Electronica,690,8,Sudamerica,21.07,2,Transferencia Bancaria,14,2,2024
32,"Televisor 55""",Electronica,310,6,Europa,10.78,3,Transferencia Bancaria,15,2,2024
33,Aspiradora,Electrodomestico,155,7,Norteamerica,8.81,7,Transferencia Bancaria,16,2,2024
34,Lavadora,Electrodomestico,543.11,2,Asia,24.28,9,PayPal,17,2,2024
35,Microondas,Electrodomestico,543.11,10,Sudamerica,24.3,3,PayPal,18,2,2024
36,Smartphone,Electronica,680,6,Sudamerica,26.01,1,Tarjeta de Credito,4,2,2024
37,Laptop,Electronica,1050,2,Europa,27.4,4,Cheque,5,2,2024
38,Aspiradora,Electrodomestico,160,8,Norteamerica,15.34,8,Transferencia Bancaria,6,2,2024
39,"Televisor 55""",Electronica,700,3,Asia,15.05,6,Cheque,7,2,2024
40,Tablet,Electronica,420,5,Sudamerica,23.95,7,PayPal,8,2,2024
41,Smartphone,Electronica,780,7,Europa,19.5,2,PayPal,9,2,2024
42,Microondas,Electrodomestico,543.11,9,Asia,21.06,2,PayPal,10,2,2024
43,"Televisor 55""",Electronica,500,3,Norteamerica,23.87,5,Cheque,11,2,2024
44,Smartphone,Electronica,780,7,Europa,26.7,1,PayPal,9,2,2024
45,Microondas,Electrodomestico,543.11,9,Asia,10.14,3,Tarjeta de Credito,10,2,2024
46,"Televisor 55""",Electronica,500,3,Norteamerica,11.27,1,PayPal,11,2,2024
47,Refrigerador,Electrodomestico,1250,1,Europa,2.82,3,Efectivo,12,2,2024
48,Laptop,Electronica,970,4,Asia,17.35,2,Cheque,13,2,2024
49,Smartphone,Electronica,543.11,8,Sudamerica,1.08,5,Efectivo,14,2,2024
50,"Televisor 55""",Electronica,310,6,Europa,13.97,1,PayPal,15,2,2024
51,Aspiradora,Electrodomestico,155,7,Norteamerica,16.28,3,Tarjeta de Credito,16,2,2024
52,Lavadora,Electrodomestico,810,2,Asia,8.6,1,Transferencia Bancaria,17,2,2024
53,"Televisor 55""",Electronica,400,2,Norteamerica,17.72,4,PayPal,15,3,2024
54,Smartphone,Electronica,700,5,Europa,0.92,10,Tarjeta de Credito,16,3,2024
55,Refrigerador,Electrodomestico,1200,1,Sudamerica,1.12,6,Cheque,17,3,2024
56,Laptop,Electronica,950,3,Asia,24.68,2,Efectivo,18,3,2024
57,Lavadora,Electrodomestico,543.11,1,Norteamerica,10.81,8,Desconocido,19,3,2024
58,"Televisor 55""",Electronica,650,4,Europa,3.81,2,Efectivo,20,3,2024
59,Aspiradora,Electrodomestico,150,10,Sudamerica,15.67,3,Desconocido,21,3,2024
60,Smartphone,Electronica,650,6,Norteamerica,23.1,7,Tarjeta de Credito,22,3,2024
61,Laptop,Electronica,1000,2,Asia,6.47,1,Cheque,23,3,2024
62,Microondas,Electrodomestico,120,8,Europa,18.69,1,Efectivo,24,3,2024
63,"Televisor 55""",Electronica,450,2,Sudamerica,2.56,9,PayPal,25,3,2024
64,Lavadora,Electrodomestico,543.11,3,Asia,1.55,5,Transferencia Bancaria,26,3,2024
65,Smartphone,Electronica,750,7,Norteamerica,15.94,4,Cheque,27,3,2024
66,Microondas,Electrodomestico,543.11,9,Asia,16.22,2,Cheque,28,3,2024
67,"Televisor 55""",Electronica,500,3,Norteamerica,19.12,1,Tarjeta de Credito,29,3,2024
68,Refrigerador,Electrodomestico,1250,1,Europa,21.78,6,Tarjeta de Credito,30,3,2024
