ID_Venta,Fecha,Producto,Categoria_producto,Precio,Cantidad_vendida,Region,Descuento,Metodo_Pago
62,24/03/2024,Microondas,Electrodomestico,120,8,Europa,,PayPal
63,25/03/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,24.86,Efectivo
64,26/03/2024,Lavadora,Electrodomestico,,3,Asia,10.7,Transferencia Bancaria
65,27/03/2024,Smartphone,Electronica,750,7,Norteamerica,8.43,Cheque
66,28/03/2024,Microondas,Electrodomestico,,9,Asia,16.28,Cheque
67,29/03/2024,"Televisor 42""",Electronica,500,3,Norteamerica,4.23,Efectivo
68,30/03/2024,Refrigerador,Electrodomestico,12000,1,Europa,24.07,PayPal
69,31/03/2024,Laptop,Electronica,970,4,Asia,2.24,Cheque
70,01/04/2024,Smartphone,Electronica,690,8,Sudamerica,29.61,Efectivo
71,02/04/2024,"Televisor 32""",Electronica,310,6,Europa,23.17,Tarjeta de Crédito
72,03/04/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,5.96,Desconocido
73,04/04/2024,Lavadora,Electrodomestico,810,2,Asia,0.17,Transferencia Bancaria
74,05/04/2024,"Televisor 42""",Electronica,400,2,Norteamerica,24.46,Cheque
75,06/04/2024,Smartphone,Electronica,700,5,Europa,21.21,Efectivo
76,07/04/2024,Refrigerador,Electrodomestico,12000,1,Sudamerica,21.87,Tarjeta de Crédito
77,08/04/2024,Laptop,Electronica,950,3,Asia,23.14,Transferencia Bancaria
78,09/04/2024,Lavadora,Electrodomestico,,1,Norteamerica,2.22,Efectivo
79,10/04/2024,Lavadora,Electrodomestico,,3,Asia,10.75,Efectivo
1,15/01/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,3.48,Transferencia Bancaria
2,16/01/2024,Smartphone,Electronica,-700,5,Europa,25.89,Tarjeta de Crédito
3,17/01/2024,Refrigerador,Electrodomestico,-1200,1,Sudamerica,18.7,Tarjeta de Crédito
4,18/01/2024,Laptop,Electronica,950,3,Asia,9.93,PayPal
5,19/01/2024,Lavadora,Electrodomestico,,1,Norteamerica,1.91,Cheque
6,20/01/2024,"Televisor 55""",Electronica,650,4,Europa,9.33,Transferencia Bancaria
7,21/01/2024,Aspiradora,Electrodomestico,,10,Sudamerica,9.76,Transferencia Bancaria
8,22/01/2024,Smartphone,Electronica,650,6,Norteamerica,21.89,Transferencia Bancaria
9,23/01/2024,Laptop,Electronica,1000,2,Asia,19.13,Tarjeta de Crédito
10,24/01/2024,Microondas,Electrodomestico,120,8,Europa,26.62,Cheque
11,25/01/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,14.17,PayPal
12,26/01/2024,Lavadora,NaN,,3,Asia,,Efectivo
13,27/01/2024,Smartphone,Electronica,750,7,Norteamerica,21.4,Efectivo
14,28/01/2024,Laptop,Electronica,850,1,Europa,22.82,Transferencia Bancaria
15,29/01/2024,Refrigerador,Electrodomestico,-1100,1,Sudamerica,16.84,Cheque
16,30/01/2024,Microondas,Electrodomestico,100,9,Asia,23.13,Tarjeta de Crédito
17,31/01/2024,"Televisor 32""",Electronica,300,5,Norteamerica,14.81,Cheque
18,01/02/2024,Tablet,Electronica,,4,Europa,15.68,Cheque
19,02/02/2024,Lavadora,Electrodomestico,750,2,Asia,12.83,Tarjeta de Crédito
20,03/02/2024,Refrigerador,Electrodomestico,,1,Norteamerica,0.76,Transferencia Bancaria
21,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,3.24,Cheque
22,05/02/2024,Laptop,NaN,1050,2,Europa,0.94,Efectivo
23,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,19.09,Tarjeta de Crédito
24,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,9.43,PayPal
25,08/02/2024,Tablet,Electronica,1000,5,Sudamerica,15.26,Transferencia Bancaria
26,09/02/2024,Smartphone,Electronica,780,7,Europa,27.23,Tarjeta de Crédito
27,10/02/2024,Microondas,Electrodomestico,,9,Asia,7.48,PayPal
28,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,12.31,PayPal
29,12/02/2024,Refrigerador,Electrodomestico,-1250,1,Europa,22.67,Cheque
30,13/02/2024,Laptop,NaN,970,4,Asia,6.86,Cheque
31,14/02/2024,Smartphone,Electronica,690,8,Sudamerica,2.31,Cheque
32,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,8.69,Tarjeta de Crédito
33,16/02/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,4.84,Tarjeta de Crédito
34,17/02/2024,Lavadora,Electrodomestico,,2,Asia,27.89,Transferencia Bancaria
35,18/02/2024,Microondas,Electrodomestico,,10,Sudamerica,24.24,Cheque
36,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,19,PayPal
37,05/02/2024,Laptop,Electronica,1050,2,Europa,26.14,Efectivo
38,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,24.11,Transferencia Bancaria
39,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,5.6,Tarjeta de Crédito
40,08/02/2024,Tablet,Electronica,420,5,Sudamerica,26.78,Transferencia Bancaria
41,09/02/2024,Smartphone,Electronica,780,7,Europa,16.18,Transferencia Bancaria
42,10/02/2024,Microondas,Electrodomestico,,9,Asia,24.22,Transferencia Bancaria
43,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,26.88,Transferencia Bancaria
44,09/02/2024,Smartphone,Electronica,780,7,Europa,9.54,Efectivo
45,10/02/2024,Microondas,Electrodomestico,,9,Asia,3.3,Cheque
46,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,6.84,PayPal
47,12/02/2024,Refrigerador,Electrodomestico,12500,1,Europa,12.81,Transferencia Bancaria
48,13/02/2024,Laptop,Electronica,970,4,Asia,24.54,Transferencia Bancaria
49,14/02/2024,Smartphone,Electronica,,8,Sudamerica,25.82,Transferencia Bancaria
50,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,0.21,Cheque
51,16/02/2024,Aspiradora,Electrodomestico,-155,7,Norteamerica,15.32,Tarjeta de Crédito
52,17/02/2024,Lavadora,Electrodomestico,810,2,Asia,12.52,Tarjeta de Crédito
53,15/03/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,6.66,Efectivo
54,16/03/2024,Smartphone,Electronica,700,5,Europa,,Tarjeta de Crédito
55,17/03/2024,Refrigerador,Electrodomestico,1200,1,Sudamerica,10.13,Transferencia Bancaria
56,18/03/2024,Laptop,Electronica,950,3,Asia,28.29,Transferencia Bancaria
57,19/03/2024,Lavadora,Electrodomestico,,1,Norteamerica,9.7,Transferencia Bancaria
58,20/03/2024,"Televisor 55""",Electronica,650,4,Europa,15.56,Efectivo
59,21/03/2024,Aspiradora,Electrodomestico,150,10,Sudamerica,21.09,Transferencia Bancaria
60,22/03/2024,Smartphone,Electronica,650,6,Norteamerica,10.91,Tarjeta de Crédito
61,23/03/2024,Laptop,Electronica,1000,2,Asia,29.15,Cheque
62,24/03/2024,Microondas,Electrodomestico,120,8,Europa,28.87,Cheque
63,25/03/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,7.55,PayPal
64,26/03/2024,Lavadora,Electrodomestico,,3,Asia,14.92,Tarjeta de Crédito
65,27/03/2024,Smartphone,Electronica,750,7,Norteamerica,9.03,Transferencia Bancaria
66,28/03/2024,Microondas,Electrodomestico,,9,Asia,8.55,Cheque
67,29/03/2024,"Televisor 42""",Electronica,500,3,Norteamerica,1.11,Tarjeta de Crédito
68,30/03/2024,Refrigerador,Electrodomestico,1250,1,Europa,18.29,Cheque
69,31/03/2024,Laptop,Electronica,970,4,Asia,15.08,Transferencia Bancaria
70,01/04/2024,Smartphone,Electronica,690,8,Sudamerica,1.54,Cheque
71,02/04/2024,"Televisor 32""",Electronica,310,6,Europa,8.36,PayPal
72,03/04/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,27.25,PayPal
73,04/04/2024,Lavadora,Electrodomestico,810,2,Asia,7.19,Cheque
74,05/04/2024,"Televisor 42""",Electronica,400,2,Norteamerica,4.35,Tarjeta de Crédito
75,06/04/2024,Smartphone,Electronica,700,5,Europa,14.68,Tarjeta de Crédito
76,07/04/2024,Refrigerador,Electrodomestico,1200,1,Sudamerica,29.57,Tarjeta de Crédito
77,08/04/2024,Laptop,Electronica,950,3,Asia,7.26,Cheque
78,09/04/2024,Lavadora,Electrodomestico,,1,Norteamerica,20.16,Tarjeta de Crédito
79,10/04/2024,Lavadora,Electrodomestico,,3,Asia,22.85,Transferencia Bancaria
1,15/01/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,7.13,PayPal
2,16/01/2024,Smartphone,Electronica,-700,5,Europa,21.85,Transferencia Bancaria
3,17/01/2024,Refrigerador,Electrodomestico,-1200,1,Sudamerica,11.03,Tarjeta de Crédito
4,18/01/2024,Laptop,Electronica,950,3,Asia,18.97,Transferencia Bancaria
5,19/01/2024,Lavadora,Electrodomestico,,1,Norteamerica,19.01,Tarjeta de Crédito
6,20/01/2024,"Televisor 55""",Electronica,650,4,Europa,16.07,Cheque
7,21/01/2024,Aspiradora,Electrodomestico,,10,Sudamerica,2.71,Transferencia Bancaria
8,22/01/2024,Smartphone,Electronica,650,6,Norteamerica,25.06,Cheque
9,23/01/2024,Laptop,Electronica,1000,2,Asia,9.62,Cheque
10,24/01/2024,Microondas,Electrodomestico,120,8,Europa,5.6,Desconocido
11,25/01/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,1.22,Tarjeta de Crédito
12,26/01/2024,Lavadora,Electrodomestico,,3,Asia,17.73,PayPal
13,27/01/2024,Smartphone,Electronica,750,7,Norteamerica,20.33,Tarjeta de Crédito
14,28/01/2024,Laptop,Electronica,850,1,Europa,0.5,PayPal
15,29/01/2024,Refrigerador,Electrodomestico,-1100,1,Sudamerica,15.36,Tarjeta de Crédito
16,30/01/2024,Microondas,Electrodomestico,100,9,Asia,6.79,Desconocido
17,31/01/2024,"Televisor 32""",Electronica,300,5,Norteamerica,19.36,Transferencia Bancaria
18,01/02/2024,Tablet,Electronica,,4,Europa,5.23,Transferencia Bancaria
19,02/02/2024,Lavadora,Electrodomestico,750,2,Asia,20.73,Efectivo
20,03/02/2024,Refrigerador,Electrodomestico,,1,Norteamerica,11.6,PayPal
21,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,28.1,PayPal
22,05/02/2024,Laptop,Electronica,1050,2,Europa,4.13,PayPal
23,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,10.23,Cheque
24,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,3.4,PayPal
25,08/02/2024,Tablet,Electronica,420,5,Sudamerica,27.74,Transferencia Bancaria
26,09/02/2024,Smartphone,Electronica,780,7,Europa,26.32,Cheque
27,10/02/2024,Microondas,Electrodomestico,,9,Asia,7.74,Desconocido
28,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,19.8,PayPal
29,12/02/2024,Refrigerador,Electrodomestico,-1250,1,Europa,24.52,PayPal
30,13/02/2024,Laptop,Electronica,970,4,Asia,16.66,Tarjeta de Crédito
31,14/02/2024,Smartphone,Electronica,690,8,Sudamerica,15.89,PayPal
32,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,7.26,Tarjeta de Crédito
33,16/02/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,2.79,Cheque
34,17/02/2024,Lavadora,Electrodomestico,,2,Asia,26.92,Transferencia Bancaria
35,18/02/2024,Microondas,Electrodomestico,,10,Sudamerica,27.01,Tarjeta de Crédito
36,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,18.99,Efectivo
37,05/02/2024,Laptop,Electronica,1050,2,Europa,10.17,Tarjeta de Crédito
38,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,10.48,PayPal
39,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,21.78,Cheque
40,08/02/2024,Tablet,Electronica,420,5,Sudamerica,26.91,Cheque
41,09/02/2024,Smartphone,Electronica,780,7,Europa,26.61,Tarjeta de Crédito
42,10/02/2024,Microondas,Electrodomestico,,9,Asia,23.4,Transferencia Bancaria
43,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,19.26,Efectivo
44,09/02/2024,Smartphone,Electronica,780,7,Europa,,Cheque
45,10/02/2024,Microondas,Electrodomestico,,9,Asia,4.85,PayPal
46,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,26.96,PayPal
47,12/02/2024,Refrigerador,Electrodomestico,1250,1,Europa,18.19,Transferencia Bancaria
48,13/02/2024,Laptop,Electronica,970,4,Asia,0.28,Cheque
49,14/02/2024,Smartphone,Electronica,,8,Sudamerica,3.04,Tarjeta de Crédito
50,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,19.91,PayPal
51,16/02/2024,Aspiradora,Electrodomestico,-155,7,Norteamerica,0.15,Transferencia Bancaria
52,17/02/2024,Lavadora,Electrodomestico,810,2,Asia,4.82,Cheque
53,15/03/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,16.46,Cheque
54,16/03/2024,Smartphone,Electronica,700,5,Europa,20.76,Cheque
55,17/03/2024,Refrigerador,Electrodomestico,1200,1,Sudamerica,19.56,Cheque
56,18/03/2024,Laptop,Electronica,950,3,Asia,6.73,Cheque
57,19/03/2024,Lavadora,Electrodomestico,,1,Norteamerica,21.37,PayPal
58,20/03/2024,"Televisor 55""",Electronica,650,4,Europa,7.12,Transferencia Bancaria
59,21/03/2024,Aspiradora,Electrodomestico,150,10,Sudamerica,9.76,Cheque
60,22/03/2024,Smartphone,Electronica,650,6,Norteamerica,22.39,Efectivo
61,23/03/2024,Laptop,Electronica,1000,2,Asia,19.49,Efectivo
62,24/03/2024,Microondas,Electrodomestico,120,8,Europa,25.48,Transferencia Bancaria
63,25/03/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,19.73,Tarjeta de Crédito
64,26/03/2024,Lavadora,Electrodomestico,,3,Asia,17.05,Tarjeta de Crédito
65,27/03/2024,Smartphone,Electronica,750,7,Norteamerica,2.81,Tarjeta de Crédito
66,28/03/2024,Microondas,Electrodomestico,,9,Asia,11.03,Efectivo
67,29/03/2024,"Televisor 42""",Electronica,500,3,Norteamerica,7.96,Tarjeta de Crédito
68,30/03/2024,Refrigerador,Electrodomestico,1250,1,Europa,7.32,PayPal
69,31/03/2024,Laptop,Electronica,970,4,Asia,29.19,Cheque
70,01/04/2024,Smartphone,Electronica,690,8,Sudamerica,11.79,Efectivo
71,02/04/2024,"Televisor 32""",Electronica,310,6,Europa,26.76,Transferencia Bancaria
72,03/04/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,18.93,Transferencia Bancaria
73,04/04/2024,Lavadora,Electrodomestico,810,2,Asia,23.84,Cheque
74,05/04/2024,"Televisor 42""",Electronica,400,2,Norteamerica,15.08,Efectivo
75,06/04/2024,Smartphone,Electronica,700,5,Europa,17.31,Tarjeta de Crédito
76,07/04/2024,Refrigerador,Electrodomestico,1200,1,Sudamerica,14.78,Tarjeta de Crédito
77,08/04/2024,Laptop,Electronica,950,3,Asia,,PayPal
78,09/04/2024,Lavadora,Electrodomestico,,1,Norteamerica,21.67,PayPal
79,10/04/2024,Lavadora,Electrodomestico,,3,Asia,8.42,Tarjeta de Crédito
1,15/01/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,0.73,Transferencia Bancaria
2,16/01/2024,Smartphone,Electronica,-700,5,Europa,19.36,Transferencia Bancaria
3,17/01/2024,Refrigerador,Electrodomestico,-1200,1,Sudamerica,5.31,PayPal
4,18/01/2024,Laptop,Electronica,950,3,Asia,28.21,Cheque
5,19/01/2024,Lavadora,Electrodomestico,,1,Norteamerica,28.62,Tarjeta de Crédito
6,20/01/2024,"Televisor 55""",Electronica,650,4,Europa,27.45,PayPal
7,21/01/2024,Aspiradora,Electrodomestico,,10,Sudamerica,11.1,PayPal
8,22/01/2024,Smartphone,Electronica,650,6,Norteamerica,0.46,Desconocido
9,23/01/2024,Laptop,Electronica,1000,2,Asia,27.85,Tarjeta de Crédito
10,24/01/2024,Microondas,Electrodomestico,120,8,Europa,12.85,Desconocido
11,25/01/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,29,Cheque
12,26/01/2024,Lavadora,Electrodomestico,,3,Asia,28.91,Cheque
13,27/01/2024,Smartphone,Electronica,750,7,Norteamerica,25.59,Tarjeta de Crédito
14,28/01/2024,Laptop,Electronica,850,1,Europa,8.83,Efectivo
15,29/01/2024,Refrigerador,Electrodomestico,-1100,1,Sudamerica,,PayPal
16,30/01/2024,Microondas,Electrodomestico,100,9,Asia,25.53,PayPal
17,31/01/2024,"Televisor 32""",Electronica,300,5,Norteamerica,9.51,Tarjeta de Crédito
18,01/02/2024,Tablet,Electronica,,4,Europa,5.08,Efectivo
19,02/02/2024,Lavadora,Electrodomestico,750,2,Asia,16.7,Transferencia Bancaria
20,03/02/2024,Refrigerador,Electrodomestico,,1,Norteamerica,28.08,Tarjeta de Crédito
21,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,20.88,Tarjeta de Crédito
22,05/02/2024,Laptop,Electronica,1050,2,Europa,17.1,PayPal
23,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,2.92,Tarjeta de Crédito
24,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,18.45,Tarjeta de Crédito
25,08/02/2024,Tablet,Electronica,420,5,Sudamerica,29.7,Tarjeta de Crédito
26,09/02/2024,Smartphone,Electronica,780,7,Europa,4.2,PayPal
27,10/02/2024,Microondas,Electrodomestico,,9,Asia,15.55,Transferencia Bancaria
28,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,26.32,Transferencia Bancaria
29,12/02/2024,Refrigerador,Electrodomestico,-1250,1,Europa,22.22,Tarjeta de Crédito
30,13/02/2024,Laptop,Electronica,970,4,Asia,20.91,PayPal
31,14/02/2024,Smartphone,Electronica,690,8,Sudamerica,21.07,Transferencia Bancaria
32,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,10.78,Transferencia Bancaria
33,16/02/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,8.81,Transferencia Bancaria
34,17/02/2024,Lavadora,Electrodomestico,,2,Asia,24.28,PayPal
35,18/02/2024,Microondas,Electrodomestico,,10,Sudamerica,24.3,PayPal
36,04/02/2024,Smartphone,Electronica,680,6,Sudamerica,26.01,Tarjeta de Crédito
37,05/02/2024,Laptop,Electronica,1050,2,Europa,27.4,Cheque
38,06/02/2024,Aspiradora,Electrodomestico,-160,8,Norteamerica,15.34,Transferencia Bancaria
39,07/02/2024,"Televisor 55""",Electronica,700,3,Asia,15.05,Cheque
40,08/02/2024,Tablet,Electronica,420,5,Sudamerica,23.95,PayPal
41,09/02/2024,Smartphone,Electronica,780,7,Europa,19.5,PayPal
42,10/02/2024,Microondas,Electrodomestico,,9,Asia,21.06,PayPal
43,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,23.87,Cheque
44,09/02/2024,Smartphone,Electronica,780,7,Europa,26.7,PayPal
45,10/02/2024,Microondas,Electrodomestico,,9,Asia,10.14,Tarjeta de Crédito
46,11/02/2024,"Televisor 42""",Electronica,500,3,Norteamerica,11.27,PayPal
47,12/02/2024,Refrigerador,Electrodomestico,1250,1,Europa,2.82,Efectivo
48,13/02/2024,Laptop,Electronica,970,4,Asia,17.35,Cheque
49,14/02/2024,Smartphone,Electronica,,8,Sudamerica,1.08,Efectivo
50,15/02/2024,"Televisor 32""",Electronica,310,6,Europa,13.97,PayPal
51,16/02/2024,Aspiradora,Electrodomestico,-155,7,Norteamerica,16.28,Tarjeta de Crédito
52,17/02/2024,Lavadora,Electrodomestico,810,2,Asia,8.6,Transferencia Bancaria
53,15/03/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,17.72,PayPal
54,16/03/2024,Smartphone,Electronica,700,5,Europa,0.92,Tarjeta de Crédito
55,17/03/2024,Refrigerador,Electrodomestico,1200,1,Sudamerica,1.12,Cheque
56,18/03/2024,Laptop,Electronica,950,3,Asia,24.68,Efectivo
57,19/03/2024,Lavadora,Electrodomestico,,1,Norteamerica,10.81,Desconocido
58,20/03/2024,"Televisor 55""",Electronica,650,4,Europa,3.81,Efectivo
59,21/03/2024,Aspiradora,Electrodomestico,150,10,Sudamerica,15.67,Desconocido
60,22/03/2024,Smartphone,Electronica,650,6,Norteamerica,23.1,Tarjeta de Crédito
61,23/03/2024,Laptop,Electronica,1000,2,Asia,6.47,Cheque
62,24/03/2024,Microondas,Electrodomestico,120,8,Europa,18.69,Efectivo
63,25/03/2024,"Televisor 42""",Electronica,-450,2,Sudamerica,2.56,PayPal
64,26/03/2024,Lavadora,Electrodomestico,,3,Asia,1.55,Transferencia Bancaria
65,27/03/2024,Smartphone,Electronica,750,7,Norteamerica,15.94,Cheque
66,28/03/2024,Microondas,Electrodomestico,,9,Asia,16.22,Cheque
67,29/03/2024,"Televisor 42""",Electronica,500,3,Norteamerica,19.12,Tarjeta de Crédito
68,30/03/2024,Refrigerador,Electrodomestico,1250,1,Europa,21.78,Tarjeta de Crédito
69,31/03/2024,Laptop,Electronica,970,4,Asia,29.28,Cheque
70,01/04/2024,Smartphone,Electronica,690,8,Sudamerica,15.49,Efectivo
71,02/04/2024,"Televisor 32""",Electronica,310,6,Europa,9.69,Transferencia Bancaria
72,03/04/2024,Aspiradora,Electrodomestico,155,7,Norteamerica,,Tarjeta de Crédito
73,04/04/2024,Lavadora,Electrodomestico,810,2,Asia,8.12,Efectivo
74,05/04/2024,"Televisor 42""",Electronica,400,2,Norteamerica,13.17,PayPal
75,06/04/2024,Smartphone,Electronica,700,5,Europa,2.35,Tarjeta de Crédito
76,07/04/2024,Refrigerador,Electrodomestico,1200,1,Sudamerica,0.76,Efectivo
77,08/04/2024,Laptop,Electronica,950,3,Asia,28.88,Efectivo
78,09/04/2024,Lavadora,Electrodomestico,,1,Norteamerica,,Transferencia Bancaria
79,10/04/2024,Lavadora,Electrodomestico,,3,Asia,20.88,Transferencia Bancaria
1,15/01/2024,"Televisor 42""",Electronica,-400,2,Norteamerica,12.27,PayPal
2,16/01/2024,Smartphone,Electronica,-700,5,Europa,5.2,Efectivo
3,17/01/2024,Refrigerador,Electrodomestico,-1200,1,Sudamerica,4.69,Efectivo
4,18/01/2024,Laptop,Electronica,950,3,Asia,7.51,Transferencia Bancaria
5,19/01/2024,Lavadora,Electrodomestico,,1,Norteamerica,16.48,Tarjeta de Crédito
6,20/01/2024,"Televisor 55""",Electronica,650,4,Europa,21.44,Tarjeta de Crédito
